id,area,district,floor,distance_to_center,rent_price
0,84.2,suburb,4,11.59,2485.07
1,66.8,suburb,3,5.85,1383.59
2,61.1,central,11,1.43,2497.48
3,86.2,residential,14,5.64,2710.22
4,50.5,central,5,1.21,1494.48
5,113.2,suburb,15,12.92,4858.93
6,90.4,business,18,2.3,4649.01
7,78.4,residential,6,4.57,2394.2
8,109.3,old_town,8,2.61,1662.69
9,108.2,luxury_hills,8,10.32,11700.77
10,81.7,university,12,4.42,1509.13
11,36.6,university,15,5.73,2349.53
12,63.1,central,12,1.0,4361.92
13,93.7,riverside,30,4.75,3771.1
14,79.0,residential,7,6.55,2454.92
15,39.2,residential,14,6.91,987.99
16,82.3,riverside,28,6.7,2437.83
17,51.7,university,12,3.9,3736.48
18,47.6,university,15,6.41,1878.34
19,135.2,green_zone,20,8.12,2258.52
20,55.3,residential,11,7.73,2491.56
21,52.7,university,14,4.63,2033.61
22,46.1,university,16,1.47,3724.28
23,24.4,university,12,5.98,3502.24
24,64.4,residential,1,11.67,2014.55
25,86.3,old_town,2,2.47,2675.08
26,53.0,university,8,0.2,3023.29
27,53.7,business,29,3.24,3063.97
28,174.5,luxury_hills,9,9.19,18387.89
29,83.5,business,10,4.09,3335.85
30,62.6,university,12,5.29,2700.89
31,29.7,university,10,2.92,3333.42
32,48.0,residential,5,7.06,1978.27
33,38.9,central,7,0.74,4919.7
34,91.2,residential,10,3.78,2991.53
35,34.6,green_zone,5,9.05,2560.88
36,32.2,university,16,3.07,3863.3
37,62.7,riverside,10,4.88,2417.65
38,104.4,luxury_hills,12,8.69,10649.22
39,61.7,old_town,4,2.88,2419.12
40,65.3,old_town,6,1.59,3975.46
41,68.4,riverside,2,3.42,2490.47
42,55.0,residential,17,9.07,1407.41
43,61.5,residential,8,4.87,2149.46
44,73.2,central,24,2.21,4604.06
45,49.3,suburb,4,13.26,1331.87
46,72.5,residential,15,7.93,2259.47
47,46.0,suburb,7,18.0,2334.82
48,49.7,suburb,5,10.7,2256.87
49,71.8,suburb,7,8.21,1027.66
50,106.1,old_town,5,2.7,4450.56
51,65.6,riverside,26,7.15,3402.11
52,47.8,residential,12,9.04,1304.99
53,42.9,central,28,0.66,5037.71
54,173.7,luxury_hills,6,7.25,29450.23
55,106.6,suburb,14,15.66,1525.59
56,56.8,university,2,6.13,1023.91
57,93.8,luxury_hills,20,11.01,8013.79
58,40.8,old_town,1,2.53,2120.69
59,54.8,central,12,0.57,6878.21
60,40.9,central,7,2.22,6017.28
61,48.9,riverside,2,2.72,2946.6
62,93.5,residential,11,5.64,2675.61
63,140.2,riverside,18,7.77,2479.82
64,101.3,business,22,2.32,5114.06
65,75.3,suburb,8,13.07,1324.49
66,89.5,suburb,4,17.38,1654.28
67,74.8,business,7,2.48,3983.77
68,66.4,riverside,15,6.65,3214.79
